data,regiao,produto,valor
20/06/2026,Sul,Fone Bluetooth,299.90
20/06/2026,Nordeste,Tablet Pro,1800.00
21/06/2026,Sudeste,Notebook ABC,4500.00
21/06/2026,Sul,Smartphone XYZ,3200.00
21/06/2026,Nordeste,Tablet Pro,1800.00
21/06/2026,Centro-Oeste,Mouse Wireless,149.90
22/06/2026,Sudeste,Notebook ABC,4500.00
22/06/2026,Sudeste,Smartphone XYZ,3200.00
22/06/2026,Sul,Fone Bluetooth,299.90
22/06/2026,Nordeste,Tablet Pro,1800.00
22/06/2026,Norte,Smartphone XYZ,3200.00
23/06/2026,Sudeste,Notebook ABC,4500.00
23/06/2026,Centro-Oeste,Smartphone XYZ,3200.00
23/06/2026,Sul,Tablet Pro,1800.00
23/06/2026,Nordeste,Fone Bluetooth,299.90
24/06/2026,Sudeste,Notebook ABC,4500.00
24/06/2026,Sudeste,Smartphone XYZ,3200.00
24/06/2026,Sul,Fone Bluetooth,299.90
24/06/2026,Nordeste,Tablet Pro,1800.00
24/06/2026,Centro-Oeste,Mouse Wireless,149.90
25/06/2026,Sudeste,Notebook ABC,4500.00
25/06/2026,Sul,Smartphone XYZ,3200.00
25/06/2026,Nordeste,Tablet Pro,1800.00
25/06/2026,Norte,Fone Bluetooth,299.90
26/06/2026,Sudeste,Notebook ABC,4500.00
26/06/2026,Sudeste,Smartphone XYZ,3200.00
26/06/2026,Sul,Tablet Pro,1800.00
26/06/2026,Nordeste,Fone Bluetooth,299.90
26/06/2026,Centro-Oeste,Mouse Wireless,149.90
27/06/2026,Sudeste,Notebook ABC,4500.00
27/06/2026,Norte,Smartphone XYZ,3200.00
27/06/2026,Sul,Fone Bluetooth,299.90
27/06/2026,Nordeste,Tablet Pro,1800.00
28/06/2026,Sudeste,Notebook ABC,4500.00
28/06/2026,Sudeste,Smartphone XYZ,3200.00
28/06/2026,Sul,Fone Bluetooth,299.90
28/06/2026,Nordeste,Tablet Pro,1800.00
28/06/2026,Centro-Oeste,Mouse Wireless,149.90
